Adress_agence,CodePostal_agence,Non_agence,Pays,Price,Tel_agence,Titre_annonce,Ville,m2_total,url
" 212 avenue Mohamed V Immeuble Elite, N°7MARRAKECH ",, COTE SUD IMMOBILIER,Morocco,"€ 4,500,000",+33 6 30 96 50 46,Villa,Marrakesh ,3500,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-morocco/18780207/
" Av. Aida, 353 A, 2765-187 EstorilLISBONNE ",2765, INS Portugal - Your Property Advisor,Portugal,"€ 870,000",351214659600,Apartment with pool,Cascais e Estoril ,122,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-portugal/17544017/
" 15, Avenue Paul Doumer 75016 Paris 16th ",75016, MARC FOUJOLS - Portugal,Portugal,"€ 640,000",+33 (0)1 53 70 00 08,Ground ,Comporta ,2519,https://properties.lefigaro.com/announces/terrain-real+estate-properties+for+sale-portugal/18775979/
 6 Rue HoudhoudMARRAKECH ,, EMILE GARCIN - MARRAKECH,Morocco,"€ 395,000",+212 (0)5 24 31 42 42,Property,Marrakesh ,146,https://properties.lefigaro.com/announces/property-real+estate-properties+for+sale-morocco/18776103/
" 212 avenue Mohamed V Immeuble Elite, N°7MARRAKECH ",, COTE SUD IMMOBILIER,Morocco,"€ 4,400,000",+33 6 30 96 50 46,Villa,Marrakesh ,900,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-morocco/18780195/
 Avenue Louise 200 ,, Brussels Sotheby's International Realty,Belgium,"€ 1,500,000",+32 (0)47 47 40 80,House with terrace,Uccle ,416,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-belgium/18786547/
" Rua Ivens, 42 - ChiadoLISBONNE ",, INFANTE & RIU,Portugal,"€ 560,000",+351 218 962 018 - +33 (0)7 51 32 15 13,Apartment,Lisbon ,66,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-portugal/18787643/
" Rua Ivens, 42 - ChiadoLISBONNE ",, INFANTE & RIU,Portugal,"€ 2,600,000",+351 218 962 018 - +33 (0)7 51 32 15 13,Apartment,Lisbon ,197,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-portugal/18787647/
" 15, Avenue Paul Doumer 75016 Paris 16th ",75016, MARC FOUJOLS - Portugal,Portugal,"€ 2,285,000",+33 (0)1 53 70 00 08,Apartment,Lisbon ,220,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-portugal/18752701/
 Avenue Louise 200 ,, Brussels Sotheby's International Realty,Belgium,"€ 1,100,000",+32 (0)47 35 51 05,Manoir,Forest ,365,https://properties.lefigaro.com/announces/manoir-real+estate-properties+for+sale-belgium/17990621/
 Route Royale ,, IKEYS LTD,Spain,,+230 57449833,Contemporary apartment with terrace and pool,Marbella ,180,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-spain/18753453/
 6 Rue HoudhoudMARRAKECH ,, EMILE GARCIN - MARRAKECH,Morocc,"€ 4,500,000",+212 (0)5 24 31 42 42,Villa,Morocco,2000,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-morocco/18752735/
" 15, Avenue Paul Doumer 75016 Paris 16th ",75016, MARC FOUJOLS - Portugal,Portugal,"€ 850,000",+33 (0)1 53 70 00 08,Apartment,Lisbon ,120,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-portugal/18752699/
 CH - 3963 CRANS-MONTANA ,3963, TRADITION CHALET SA,Switzerland,"€ 5,990,000",+ 41 79 625 61 41,House,Mont-sur-Rolle ,687,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-switzerland/16679513/
" Av. Aida, 353 A, 2765-187 EstorilLISBONNE ",2765, INS Portugal - Your Property Advisor,Portugal,"€ 1,600,000",351214659600,Apartment,Lisbon ,280,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-portugal/12003013/
" Plaça Forgas 11, PB, Puerta 1 ",, Immobilier Costa Brava,Spain,"€ 1,480,000",34 972 30 45 91,Seaside villa with pool,Begur ,226,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-spain/18753463/
 Route Royale ,, IKEYS LTD,Spain,,+230 57449833,Seaside villa with pool,Marbella ,1700,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-spain/18753489/
" Chaussée de Mons, 303 ",, BEST PARTNER,Belgium,"€ 850,000",+32 (0) 2 355 59 21,Property with garden,Soignies ,200,https://properties.lefigaro.com/announces/property-real+estate-properties+for+sale-belgium/18753107/
 Quinta Shopping - Nr 12Quinta do Lago ,, ONE SELECT PROPERTIES,Portugal,,351289143940,House with pool and garden,Almancil ,1034,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-portugal/18754711/
 Quinta Shopping - Nr 12Quinta do Lago ,, ONE SELECT PROPERTIES,Portugal,,351289143940,House with pool and garden,Almancil ,15500,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-portugal/18754687/
 Quinta Shopping - Nr 12Quinta do Lago ,, ONE SELECT PROPERTIES,Portugal,,351289143940,Seaside contemporary house with pool,Almancil ,2045,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-portugal/18754727/
 Quinta Shopping - Nr 12Quinta do Lago ,, ONE SELECT PROPERTIES,Portugal,,351289143940,Seaside contemporary house with pool,Almancil ,2400,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-portugal/18754747/
 Quinta Shopping - Nr 12Quinta do Lago ,, ONE SELECT PROPERTIES,Portugal,,351289143940,House with pool and garden,Almancil ,4,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-portugal/18754707/
" 212 avenue Mohamed V Immeuble Elite, N°7MARRAKECH ",, COTE SUD IMMOBILIER,Morocco,"€ 1,450,000",+33 6 30 96 50 46,Riad,Medina ,320,https://properties.lefigaro.com/announces/riad-real+estate-properties+for+sale-morocco/18757283/
" 15, Avenue Paul Doumer 75016 Paris 16th ",75016, MARC FOUJOLS - Portugal,Portugal,"€ 800,000",+33 (0)1 53 70 00 08,Apartment,Lisbon ,85,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-portugal/18752697/
 Quinta Shopping - Nr 12Quinta do Lago ,, ONE SELECT PROPERTIES,Portugal,,351289143940,Seaside house with pool,Almancil ,2995,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-portugal/18754741/
" Rua Dr. Acurcio Gil Castanheira, 6 ",, PORTUGALRUR,Portugal,"€ 535,000",351 274 67 27 30,House,Porto ,298,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-portugal/18757883/
 Quinta Shopping - Nr 12Quinta do Lago ,, ONE SELECT PROPERTIES,Portugal,,351289143940,Seaside house with pool,Almancil ,2520,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-portugal/18754721/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 2,500,000",+39 02 8707 8300,Apartment,Milan ,280,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/18722107/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 1,850,000",+39 02 8707 8300,Villa,Orta San Giulio ,180,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/18722113/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 7,000,000",+39 02 8707 8300,Apartment,Milan ,500,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/18722121/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 1,800,000",+39 02 8707 8300,Villa,Asti ,491,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/18722153/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 850,000",+39 02 8707 8300,Villa,Stresa ,240,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/18722127/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 790,000",+39 02 8707 8300,Apartment,Milan ,119,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/18722137/
" 212 avenue Mohamed V Immeuble Elite, N°7MARRAKECH ",, COTE SUD IMMOBILIER,Morocco,"€ 1,800,000",+33 6 30 96 50 46,Villa,Marrakesh ,700,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-morocco/18731685/
 6 Rue HoudhoudMARRAKECH ,, EMILE GARCIN - MARRAKECH,Morocc,,+212 (0)5 24 31 42 42,Villa,Morocco,1280,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-morocco/18690883/
 Port Grimaud1 Place des ArtisansB.P. 10110 83310 Grimaud ,83310, IMMOBILIERE DE LA CITE,Mauritius,"€ 1,600,000",04 94 56 03 17,Villa with pool and terrace,Tamarin ,282,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-mauritius/17086033/
" Av. Aida, 353 A, 2765-187 EstorilLISBONNE ",2765, INS Portugal - Your Property Advisor,Portugal,"€ 540,000",351214659600,Apartment,Cascais e Estoril ,101.4,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-portugal/17432095/
" Av. Aida, 353 A, 2765-187 EstorilLISBONNE ",2765, INS Portugal - Your Property Advisor,Portugal,"€ 1,290,000",351214659600,Apartment,Cascais e Estoril ,133,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-portugal/12003027/
" Av. Aida, 353 A, 2765-187 EstorilLISBONNE ",2765, INS Portugal - Your Property Advisor,Portugal,"€ 1,980,000",351214659600,Villa with pool,Cascais e Estoril ,420,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-portugal/16378661/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 980,000",+39 02 8707 8300,Apartment,Milan ,160,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/18722145/
 Route Royale ,, IKEYS LTD,Spain,"€ 4,200,000",+230 57449833,Contemporary apartment with terrace and pool,Marbella ,2000,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-spain/18753481/
 Port Grimaud1 Place des ArtisansB.P. 10110 83310 Grimaud ,83310, IMMOBILIERE DE LA CITE,Mauritius,"€ 606,000",04 94 56 03 17,Villa with pool and terrace,Grand Baie ,143,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-mauritius/18565203/
" Es Cós de Gràcia, 19 ",, SES MORERES,Spain,"€ 2,500,000",+34 971 35 15 30,Farm house with outbuildings and garden,Mahón ,1453,https://properties.lefigaro.com/announces/farm-real+estate-properties+for+sale-spain/17837715/
 6 Rue HoudhoudMARRAKECH ,, EMILE GARCIN - MARRAKECH,Morocc,"€ 280,000",+212 (0)5 24 31 42 42,Villa,Morocco,165,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-morocco/18741923/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 4,950,000",+39 02 8707 8300,Villa,Lerici ,600,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/18722141/
" Av. Aida, 353 A, 2765-187 EstorilLISBONNE ",2765, INS Portugal - Your Property Advisor,Portugal,"€ 1,200,000",351214659600,Property,Cascais e Estoril ,,https://properties.lefigaro.com/announces/property-real+estate-properties+for+sale-portugal/18744047/
 Av. Engº Duarte Pacheco nº 17/19R/C Loja BLISBONNE ,, CLUTTONS LISBOA,Portugal,"€ 3,450,000",351215807080,Farm house,Lisbon ,141546,https://properties.lefigaro.com/announces/farm-real+estate-properties+for+sale-portugal/18659177/
 Route Royale ,, IKEYS LTD,Spain,,+230 57449833,Contemporary apartment with terrace and pool,Marbella ,239,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-spain/18743203/
 Frankrijklei 93 ,, Antwerp Sotheby's International Realty,Belgium,,+32 (0)47 53 98 68,Apartment,Meir ,185,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-belgium/18659423/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 1,500,000",351282353019,Villa,Loulé ,292,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-portugal/14166505/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 1,350,000",351282353019,Villa,Lagos ,180,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-portugal/12170059/
 4 rue de Saint VictorGeneve ,, EMILE GARCIN - SUISSE,Switzerland,"€ 6,520,000",+41 22 702 02 30,House,Collonge-Bellerive ,320,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-switzerland/17362173/
" Rua Dr. Acurcio Gil Castanheira, 6 ",, PORTUGALRUR,Portugal,"€ 850,000",351 274 67 27 30,Property,Baião ,29700,https://properties.lefigaro.com/announces/property-real+estate-properties+for+sale-portugal/13373345/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 1,300,000",+212 (0)5 24 43 32 00,Villa,Marrakesh ,900,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-morocco/11961873/
 6 Rue HoudhoudMARRAKECH ,, EMILE GARCIN - MARRAKECH,Morocc,"€ 265,000",+212 (0)5 24 31 42 42,Apartment,Morocco,152,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-morocco/18690885/
" Av. Aida, 353 A, 2765-187 EstorilLISBONNE ",2765, INS Portugal - Your Property Advisor,Portugal,"€ 1,850,000",351214659600,Apartment with pool,Caxias ,,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-portugal/12852999/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 595,000",351282353019,Villa,Lagoa ,195,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-portugal/18671477/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 1,750,000",+39 02 8707 8300,Apartment,Milan ,250,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-italy/17141251/
" Rua Ivens, 42 - ChiadoLISBONNE ",, INFANTE & RIU,Portugal,"€ 825,000",+351 218 962 018 - +33 (0)7 51 32 15 13,House,Lisbon ,281,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-portugal/18604113/
 6 Rue HoudhoudMARRAKECH ,, EMILE GARCIN - MARRAKECH,Morocc,"€ 4,150,000",+212 (0)5 24 31 42 42,Villa,Morocco,1000,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-morocco/18690879/
" 212 avenue Mohamed V Immeuble Elite, N°7MARRAKECH ",, COTE SUD IMMOBILIER,Morocco,"€ 590,000",+33 6 30 96 50 46,Riad,Medina ,450,https://properties.lefigaro.com/announces/riad-real+estate-properties+for+sale-morocco/18691035/
" Rua Ivens, 42 - ChiadoLISBONNE ",, INFANTE & RIU,Portugal,"€ 1,150,000",+351 218 962 018 - +33 (0)7 51 32 15 13,Apartment,Lisbon ,169,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-portugal/18604105/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 3,100,000",351282353019,Ground ,Lagoa ,1320,https://properties.lefigaro.com/announces/terrain-real+estate-properties+for+sale-portugal/15006447/
" Rua Ivens, 42 - ChiadoLISBONNE ",, INFANTE & RIU,Portugal,"€ 865,000",+351 218 962 018 - +33 (0)7 51 32 15 13,Apartment,Lisbon ,145.4,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-portugal/18604117/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 670,000",351282353019,Villa,Lagoa ,176,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-portugal/12169874/
" Rua Ivens, 42 - ChiadoLISBONNE ",, INFANTE & RIU,Portugal,"€ 635,000",+351 218 962 018 - +33 (0)7 51 32 15 13,Apartment,Lisbon ,164,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-portugal/18604109/
" Rua Ivens, 42 - ChiadoLISBONNE ",, INFANTE & RIU,Portugal,"€ 900,000",+351 218 962 018 - +33 (0)7 51 32 15 13,Apartment,Lisbon ,180,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-portugal/18604121/
" Rua Ivens, 42 - ChiadoLISBONNE ",, INFANTE & RIU,Portugal,"€ 1,490,000",+351 218 962 018 - +33 (0)7 51 32 15 13,House,Lisbon ,80.9,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-portugal/18604125/
,, EMILE GARCIN - BRUXELLES,Belgium,"€ 1,195,000",+32 (0)22 01 94 00,Apartment with terrace,Brussels ,200,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-belgium/18690887/
" Rua Dr. Acurcio Gil Castanheira, 6 ",, PORTUGALRUR,Portugal,"€ 795,000",351 274 67 27 30,Farm house,Mora ,705,https://properties.lefigaro.com/announces/farm-real+estate-properties+for+sale-portugal/16025937/
 Avenue Louise 200 ,, Brussels Sotheby's International Realty,Belgium,"€ 3,575,000",+32 (0)47 59 44 50,Villa with pool,Kraainem ,720,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-belgium/17979351/
" Rua Dr. Acurcio Gil Castanheira, 6 ",, PORTUGALRUR,Portugal,,351 274 67 27 30,Seaside house with pool,Colares ,20000,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-portugal/18420215/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 1,650,000",351282353019,Villa,Lagoa ,325,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-portugal/18582003/
" Av. Aida, 353 A, 2765-187 EstorilLISBONNE ",2765, INS Portugal - Your Property Advisor,Portugal,"€ 1,222,000",351214659600,Property,Lisbon ,224,https://properties.lefigaro.com/announces/property-real+estate-properties+for+sale-portugal/16530641/
" Rua Dr. Acurcio Gil Castanheira, 6 ",, PORTUGALRUR,Portugal,,351 274 67 27 30,Apartment with terrace,Lisbon ,295,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-portugal/17601133/
 Frankrijklei 93 ,, Antwerp Sotheby's International Realty,Belgium,,+32 (0)47 52 32 39,Farm house with pool,Haacht ,225,https://properties.lefigaro.com/announces/farm-real+estate-properties+for+sale-belgium/18625403/
" Av. Aida, 353 A, 2765-187 EstorilLISBONNE ",2765, INS Portugal - Your Property Advisor,Portugal,"€ 780,000",351214659600,Apartment with pool,Cascais e Estoril ,203,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-portugal/14602219/
 Frankrijklei 93 ,, Antwerp Sotheby's International Realty,Belgiu,,+32 (0)47 52 32 39,House with pool and terrace,Belgium,960,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-belgium/18570229/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 780,000",+212 (0)5 24 43 32 00,Villa,Marrakesh ,550,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-morocco/10851354/
 Frankrijklei 93 ,, Antwerp Sotheby's International Realty,Belgium,,+32 (0)47 53 98 68,Ground ,Aartselaar ,7947,https://properties.lefigaro.com/announces/terrain-real+estate-properties+for+sale-belgium/18570227/
 Marbella ,, ANDALUCIA.FR,Spain,"€ 795,000",34684458333,Property with pool and garden,Mijas ,502,https://properties.lefigaro.com/announces/property-real+estate-properties+for+sale-spain/18575081/
" Av. Aida, 353 A, 2765-187 EstorilLISBONNE ",2765, INS Portugal - Your Property Advisor,Portugal,"€ 1,800,000",351214659600,Villa with pool,Cascais e Estoril ,,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-portugal/14342101/
,, EMILE GARCIN - BRUXELLES,Belgium,"€ 599,000",+32 (0)22 01 94 00,Apartment,Uccle ,160,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-belgium/16139155/
 Rua Manuel Dos Santos VaquinhasLote 107 - r/chao EsquerdoLoule ,, INSIDE VILLAS,Portugal,"€ 1,250,000",351915492561,House with garden,Faro District ,425,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-portugal/18570025/
 Estrada das Escaxinas Edifício Irbosol 1ºandarAlmancil ,, A1 ALGARVE REAL ESTATE,Portuga,"€ 4,450,000",351910660900,Property,Portugal,,https://properties.lefigaro.com/announces/property-real+estate-properties+for+sale-portugal/18031753/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 450,000",351282353019,Ground ,Lagoa ,205,https://properties.lefigaro.com/announces/terrain-real+estate-properties+for+sale-portugal/18582007/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 4,000,000",351282353019,Villa,Tavira ,220,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-portugal/12170203/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 3,200,000",+39 02 8707 8300,Villa,Montecalvo Versiggia ,850,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/18544497/
 6 Rue HoudhoudMARRAKECH ,, EMILE GARCIN - MARRAKECH,Morocco,"€ 1,500,000",+212 (0)5 24 31 42 42,Villa,Marrakesh ,500,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-morocco/14213517/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 1,100,000",351282353019,Ground ,Lagos ,150,https://properties.lefigaro.com/announces/terrain-real+estate-properties+for+sale-portugal/12170255/
,, EMILE GARCIN - BRUXELLES,Belgium,"€ 369,000",+32 (0)22 01 94 00,Apartment,Uccle ,150,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-belgium/16139153/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 2,250,000",351282353019,Villa,Lagos ,368,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-portugal/18552511/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 5,600,000",+39 02 8707 8300,Villa,Bergamo ,650,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/18544493/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 795,000",351282353019,Villa,Lagos ,269,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-portugal/18582011/
 4 rue de Saint VictorGeneve ,, EMILE GARCIN - SUISSE,Switzerland,"€ 775,000",+41 22 702 02 30,Chalet,Hérémence ,180,https://properties.lefigaro.com/announces/chalet-real+estate-properties+for+sale-switzerland/18558259/
 Marbella ,, ANDALUCIA.FR,Spain,"€ 1,100,000",34684458333,Property with pool,Málaga ,883,https://properties.lefigaro.com/announces/property-real+estate-properties+for+sale-spain/18560917/
" Av. Aida, 353 A, 2765-187 EstorilLISBONNE ",2765, INS Portugal - Your Property Advisor,Portugal,"€ 1,000,000",351214659600,Property,Alcabideche ,400,https://properties.lefigaro.com/announces/property-real+estate-properties+for+sale-portugal/16811959/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 1,590,000",351282353019,Villa,Lagos ,431,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-portugal/18582023/
